Station Name,Street Address,City,State,ZIP,Status Code,Latitude,Longitude,ID,Open Date,EV Connector Types,Country,Access Code
Leavenworth - City Hall,700 US Hwy 2,Leavenworth,WA,98826,E,47.59501,-120.664684,73413,,CHADEMO J1772,US,public
Sultan - Sultan Visitor Information Center,320 Main St,Sultan,WA,98294,E,47.862157,-121.816597,73415,,CHADEMO J1772,US,public
Cle Elum,3600 Suncadia Trail,Cle Elum,WA,98922,E,47.208469,-121.019582,73431,,CHADEMO J1772,US,public
Snoqualmie - Snoqualmie Pass Chevron,519 SR 906,Snoqualmie Pass,WA,98068,E,47.42094,-121.4113,73433,,CHADEMO J1772,US,public
Performance Kia,229 SW Everett Mall Way,Everett,WA,98204,E,47.906308,-122.237601,74196,2016-01-01,CHADEMO J1772COMBO,US,public
Bedrooms & More,300 NE 45th St,Seattle,WA,98105,E,47.66159,-122.324877,74301,2011-10-01,J1772,US,public
UWB CASCADIA CC BEARDSLEE #1,19121 112th Ave NE,Bothell,WA,98011,E,47.766921,-122.191941,74717,,J1772,US,public
NISSAN-EVERETT DC STATION 1,10500 Evergreen Way,Everett,WA,98204,E,47.90271,-122.246889,75094,,CHADEMO J1772COMBO,US,public
SAFECO PLAZA SAFECO PLAZA #1,1001 4th Ave Safeco Plaza,Seattle,WA,98154,E,47.606106,-122.333782,75391,,J1772,US,public
City of Tacoma - Fleet Operations,3639 S Pine St,Tacoma,WA,98409,E,47.225367,-122.47265,75723,2011-11-30,J1772,US,private
City of Tacoma - Solid Waste Management,3510 S Mullen St,Tacoma,WA,98409,E,47.231312,-122.501372,75724,2011-11-30,J1772,US,private
Nissan of Kirkland,11930 124th Ave NE,Kirkland,WA,98034,E,47.707294,-122.174855,75997,2016-05-01,CHADEMO J1772,US,public
Nissan of Kirkland,11930 124th Ave NE,Kirkland,WA,98034,E,47.707294,-122.174855,76084,2016-05-01,J1772,US,private
Washington Department of Transportation - Parking Garage,310 Maple Park Ave SE,Olympia,WA,98501,E,47.034344,-122.89857,76251,2014-06-01,CHADEMO,US,private
Lee Johnson Kia,11845 NE 85th St,Kirkland,WA,98033,E,47.677725,-122.182402,76253,2015-08-01,CHADEMO J1772COMBO,US,public
City of Seattle - Charles Street Fuel,1040 7th Ave S,Seattle,WA,98134,E,47.593875,-122.323801,76254,2016-06-03,CHADEMO,US,private
MI SCHOOLS NORTHWOOD #1,4030 86th Ave SE,Mercer Island,WA,98040,E,47.573641,-122.223648,76839,,J1772,US,public
